 Năm 179 TCN, nước ta bị triều đại phong kiến nào ở Trung Quốc xâm chiếm?
Lịch sử chiến tranh Việt Nam-Trung Quốc	Nhà Tần sau khi thôn tính các quốc gia Trung Nguyên đã tiếp tục tràn xuống phía nam sông Trường Giang, xâm chiếm lãnh thổ các bộ lạc Bách Việt trong đó có Âu Lạc, Thục Phán đã lãnh đạo thành công cuộc chiến 10 năm bảo vệ lãnh thổ (218-208 TCN), nhưng sau đó bị mắc bẫy nên mất quyền cai trị đất nước vào tay nhà Triệu năm 179 TCN (hoặc 207 TCN). Từ đây vùng lãnh thổ độc lập của người Việt phải chịu tình trạng thuộc địa của các triều đại phương bắc Trung Quốc trong 10 thế kỷ (179 TCN- 905 hoặc 111 TCN - 905). Các triều đại của Trung Quốc từng kiểm soát lãnh thổ thuộc Việt Nam ngày nay là Tây Hán (111 TCN-9),Tân (9-23), Đông Hán (23-220) (gián đoạn 40-43 khởi nghĩa Hai Bà Trưng), Đông Ngô (222-280), Tây Tấn (280-316), Đông Tấn (317-420), Lưu Tống (420-479), Nam Tề (479-502), Lương (502-557), Trần (557-589), Tùy (581-619), Đường (618-905).	0.501499933215604
Di cư của người Việt Nam	Suốt thời phong kiến, luồng di cư chủ đạo của người Việt Nam là từ bắc xuống nam. Theo sau các đợt xâm chiếm và mở rộng lãnh thổ qua các triều đại là những đợt di dân lớn. Ngoài ra sử sách cũng ghi nhận một số nhóm nhỏ lẻ di cư chính trị ra nước ngoài, chủ yếu là ở Trung Quốc, đây là bộ phận bị xem là bán nước, theo gót quân xâm lược Trung Quốc, điển hình là một số hoàng thân, quốc thích nhà Trần như Trần Ích Tắc hay hoàng thân, quốc thích nhà Lê như vua Lê Chiêu Thống...	0.31719679569437303
 Sau khi chiếm được Âu Lạc, nhà Triệu chia thành 2 quận và sáp nhập vào quốc gia nào?
Tượng quận	Cả ba quận Giao Chỉ, Cửu Chân và Nhật Nam do nhà Hán đặt sau này không nằm trong quận Tượng. Các sử gia căn cứ thêm vào Sử ký Tư Mã Thiên dẫn chứng: khi Triệu Đà nhân nhà Tần suy yếu, chiếm 3 quận Nam Hải, Quế Lâm và Tượng (chiếm được trong chiến tranh Việt-Tần) để thành lập nước Nam Việt (207 TCN) thì Nam Việt chưa bao gồm Âu Lạc. Chỉ tới "sau khi Lã hậu mất (180 TCN)", Triệu Đà mới chiếm lãnh thổ Âu Lạc và chia thành 2 quận Giao Chỉ và Cửu Chân. Còn đất đai Nhật Nam thời Hán - mà trong đó có huyện Tượng Lâm sau này tách ra thành nước Lâm Ấp (năm 192) - chỉ được nhập vào lãnh thổ chung với miền Bắc và miền Trung Việt Nam ngày nay lần đầu tiên vào thời thuộc Hán, sau khi Hán Vũ Đế đánh chiếm Nam Việt (111 TCN, Nam Việt khi đó bao gồm cả phần đất bên Việt Nam), các quan cai trị Giao Chỉ tiến xuống thu phục các bộ tộc phía Nam dãy Hoành Sơn và hình thành quận Nhật Nam.	0.648075040740686
Nhà Triệu	Năm 206 TCN, nhà Tần sụp đổ, các bộ tộc Bách Việt ở Quế Lâm và Tượng quận trở nên xa rời hơn với Trung Nguyên. Theo truyền thuyết, thủ lĩnh An Dương Vương ở phía nam đã thành lập vương quốc Âu Lạc (chữ Hán: 甌駱). Theo quan điểm hiện nay của chính phủ Việt Nam, khoảng năm 179 TCN, Triệu Đà đánh chiếm Âu Lạc của An Dương Vương, chia đất Âu Lạc làm 2 quận Giao Chỉ và Cửu Chân rồi sáp nhập vào Nam Hải, Quế Lâm, Tượng quận. Lãnh địa gồm 5 quận của Nam Việt ổn định cho tới khi nước này bị diệt cùng nhà Triệu.	0.6387911162314795
 Khởi nghĩa của Hai Bà Trưng đánh bại quân xâm lược
Hai Bà Trưng	Sau khi cuộc khởi nghĩa này bị quân Đông Hán dưới sự chỉ huy của Mã Viện đánh bại, tục truyền rằng vì không muốn chịu khuất phục, Hai Bà Trưng đã gieo mình xuống dòng sông Hát Giang tuẫn tiết, địa danh Hát Môn - Hát Giang là nơi thánh tích Hai Bà dựng cờ khởi nghĩa chống quân Đông Hán xâm lược và cũng là nơi Hai Bà hóa thân vào cõi bất diệt. Đền Hát Môn thờ Hai Bà Trưng là Di tích lịch sử Quốc gia đặc biệt được Thủ tướng Chính phủ công nhận tại QĐ số 2383/QĐ-TTg ngày 9 tháng 12 năm 2013, ngôi đền Hát Môn cổ kính với nhiều hàng cây cổ thụ, khung cảnh trang nghiêm yên tĩnh quanh năm.	0.6722780667390938
Chiến tranh nhân dân	Ở Việt Nam, truyền thống tiến hành khởi nghĩa và chiến tranh nhân dân để giải phóng dân tộc và bảo vệ đất nước đã có từ lâu. Các cuộc khởi nghĩa Hai Bà Trưng (40 - 43), khởi nghĩa Lý Bí (542 - 544), khởi nghĩa Mai Thúc Loan (722), khởi nghĩa Phùng Hưng (767 - 791)... đều là các cuộc khởi nghĩa và chiến tranh nhân dân. Các cuộc chiến tranh trong các đời Trần, Lê… đều là các cuộc chiến tranh nhân dân do giai cấp phong kiến lãnh đạo. Cuộc chiến tranh do Nguyễn Huệ lãnh đạo, lúc đầu là một cuộc khởi nghĩa và chiến tranh nông dân nhằm lật đổ triều đại phong kiến trong nước, về sau là một cuộc chiến tranh nhân dân chống lại xâm lược của nhà Thanh (Trung Quốc)...	0.39329922142756063
 Sau khi lên làm vua, Lý Bí đặt quốc hiệu nước ta là
Vạn Xuân	Vạn Xuân (萬春) là quốc hiệu của Việt Nam trong một thời kỳ độc lập ngắn ngủi thoát khỏi chính quyền trung ương Trung Hoa, dưới thời nhà Tiền Lý và Triệu Việt Vương. Tháng 2 năm 544, sau khi đánh bại quân nhà Lương (Trung Quốc), Lý Bí xưng là Hoàng đế và đặt tên nước là Vạn Xuân. Quốc hiệu này tồn tại từ năm 544 đến năm 602, khi nhà Tùy đánh bại Lý Phật Tử và đô hộ Việt Nam một lần nữa.	0.40207177484076273
Tinh Thiều	Lý Bí tập hợp hào kiệt Giao Châu, khởi nghĩa chống nhà Lương năm 541. Qua 3 năm chiến đấu, 3 lần đánh bại quân Lương, lại đánh đuổi quân Lâm Ấp xâm lấn phía nam. Năm 544, Lý Bí tự xưng làm hoàng đế, đặt niên hiệu, lập trăm quan, dựng quốc hiệu là Vạn Xuân. Trong những người phò tá, Tinh Thiều đứng đầu các quan văn với chức Thái sư, Phạm Tu đứng đầu các tướng võ, Triệu Túc làm thái phó.	0.330630706048263
