Argentina	Argentina (thường được phiên âm trong tiếng Việt là Ác-hen-ti-na), tên chính thức là Cộng hòa Argentina (tiếng Tây Ban Nha: República Argentina, phát âm [reˈpuβlika arxenˈtina]), là quốc gia lớn thứ hai ở Nam Mỹ theo diện tích đất, sau Brasil. Quốc gia này theo thể liên bang, hình thành với 23 tỉnh và một thành phố tự trị là thủ đô Buenos Aires. Argentina có diện tích đứng thứ tám trên thế giới về diện tích đất liền và lớn nhất trong số các nước nói tiếng Tây Ban Nha, mặc dù México, Colombia và Tây Ban Nha đông dân hơn.
Argentina	Địa hình Argentina bao gồm diện tích từ dãy núi Andes ở phía tây đến Đại Tây Dương ở phía đông. Quốc gia này giáp Paraguay và Bolivia về phía bắc, Brasil và Uruguay về phía đông bắc, và Chile về phía tây và nam. Argentine tuyên bố chủ quyền ở Châu Nam Cực nhưng lãnh phận này lấn lên khu vực tranh chấp với Chile và Vương quốc Liên hiệp Anh. Về mặt pháp lý quốc tế, Hệ thống Hiệp ước Vùng Nam Cực ký năm 1961 đã vô hiệu hóa tuyên bố chủ quyền của mọi nước. Argentina cũng tuyên bố chủ quyền trên Quần đảo Falkland (tiếng Tây Ban Nha: Islas Malvinas), Nam Georgia và Quần đảo Nam Sandwich. Những nhóm đảo này hiện do Anh quản lý theo kiểu Lãnh thổ hải ngoại thuộc Anh.
Argentina	Là một Cường quốc bậc trung (middle power) được thừa nhận, Argentina là nền kinh tế lớn thứ ba Mỹ Latinh, với một xếp hạng cao về Chỉ số phát triển con người. Trong phạm vi Mỹ Latinh, Argentina có GDP danh nghĩa cao thứ năm và cao nhất về sức mua tương đương. Các nhà phân tích cho rằng nước này có "nền tảng cho sự phát triển trong tương lai do kích cỡ thị trường của nó, mức độ đầu tư trực tiếp nước ngoài, và tỷ lệ khối lượng hàng hóa xuất khẩu công nghệ cao là phần đóng góp quan trọng vào tổng mức sản xuất hàng hóa", và nó được các nhà đầu tư phân loại là một nền kinh tế mới nổi. Argentina là một thành viên sáng lập của Liên Hiệp Quốc, Mercosur, Liên minh các Quốc gia Nam Mỹ, OEI, Nhóm Ngân hàng Thế giới và Tổ chức thương mại thế giới, và là một trong nhóm các nền kinh tế lớn G20.
Argentina	Tên gọi Argentina được bắt nguồn từ tiếng Latinh argentum (" nghĩa là Bạc"). Việc sử dụng lần đầu tiên từ nguyên "Argentina" có thể được tìm thấy vào năm 1602 trong bài thơ La Argentina y conquista del Río de la Plata (tiếng Việt: Argentina và cuộc chinh phục dòng sông bạc) của Martín del Barco Centenera. Mặc dù tên này đã được dùng phổ biến để gọi Lưu vực sông La Plata vào thế kỷ thứ XVIII, nhưng tên chính thức của vùng đất này vốn được gọi là Phó vương quốc Río de la Plata từ năm 1776. Những chính phủ tự trị nổi lên từ cuộc cách mạng tháng 5 năm 1810 đã thay thế từ "Phó vương" bằng "Các tỉnh thống nhất".
Argentina	Một trong số những lần đầu tiên sử dụng cái tên "Argentina" một cách nổi bật là trong quốc ca đầu tiên của Argentina vào năm 1812, bản quốc ca nói đến Cuộc chiến giành độc lập của Argentina đang diễn ra khi đó. Việc sử dụng một cách chính thức tên gọi này lần đầu tiên là trong hiến pháp năm 1826, nó đã sử dụng cả hai thuật ngữ "cộng hòa Argentina" và "quốc gia Argentina". Nhưng sau đó hiến pháp bị bãi bỏ, và các lãnh thổ được gọi thay thế là "Liên minh Argentina". Tên này được sử dụng trong hiến pháp năm 1853, rồi đổi thành "Quốc gia Argentina" năm 1859, rồi thành "Cộng hòa Argentina" theo một nghị quyết năm 1860, khi nước này được tổ chức như ngày nay. Tuy vậy, những cái tên gồm "Các tỉnh thống nhất Río de la Plata", "cộng hòa Argentina" và "liên minh Argentina " vẫn được công nhận là những tên hợp pháp của đất nước.
Argentina	Vết tích cổ xưa nhất của con người tại Argentina có niên đại từ 11.000 TCN và được tìm thấy tại Patagonia (Piedra Museo, Santa Cruz). Những phát hiện này là của người Diaguita, Huarpe, và Sanavirone bản địa. Đế chế Inca, dưới thời "người Inca vĩ đại" Pachacutec, đã xâm chiếm và chinh phục vùng ngày nay là tây-bắc Argentina năm 1480, một chiến công thường được gán cho Túpac Inca Yupanqui. Các bộ lạc Omaguaca, Atacama, Huarpe và Diaguita bị đánh bại và hợp nhất vào trong vùng gọi là Collasuyu. Những bộ lạc khác, như Sanavirone, Lule-Tonocoté, và Comechingone, kháng cự lại người Inca và vẫn độc lập khỏi họ. Những người Guaraní phát triển văn hóa dựa trên việc trồng trọt Sắn, khoai lang, và chè yerba Paragoay. Những khu vực miền trung và nam (Pampas và Patagonia) bị thống trị bởi các bộ lạc trồng trọt du mục, đông dân nhất trong số đó là người Mapuche. Tại phía bắc Argentina, những cư dân bản địa Atacama cư trú ở Tastil có dân cư ước tính gồm 2.000 người, là khu vực có cư dân đông nhất trong thời kỳ tiền Colombo tại Argentina.
Argentina	Những bộ lạc bản xứ tiến bộ nhất là người Charrúa và Guaraní- những người đã phát triển một số nghề canh tác nông nghiệp cơ bản và sử dụng đồ gốm. Tuy vậy, đa số sắc dân này được tìm thấy ở những vùng khác tại Nam Mỹ, và sự hiện diện của họ ở lãnh thổ Argentina ngày nay là rất ít khi so sánh với các nước khác.
Argentina	Những nhà thám hiểm châu Âu đến năm 1516. Tây Ban Nha thành lập Phó vương Peru năm 1542, bao gồm toàn bộ thuộc địa đang nắm giữ của Tây Ban Nha ở Nam Mỹ. Nơi thực dân đầu tiên của họ tại Argentina hiện đại là Pháo đài Sancti Spiritu xây dựng năm 1527 gần Sông Paraná. Buenos Aires, một thuộc địa lâu dài, được xây dựng năm 1536 nhưng bị thổ dân phá hủy. Thành phố được xây dưng lại năm 1580 là một phần của Tỉnh thuộc Địa Río de la Plata.
Argentina	Vùng đất bao trùm hầu hết lãnh thổ Argentina ngày nay phần lớn là lãnh thổ gồm di dân Tây Ban Nha và con cháu (được gọi là criollo), người lai, thổ dân, và con cháu của các nô lệ châu Phi. Trong một phần ba thời kỳ thực dân, dân di cư tập trung tại Buenos Aires và những thành phố khác, những nhóm di dân khác sống trên các thảo nguyên, ví dụ như gaucho. Người bản địa sống phần lớn ở vùng còn lại, hầu hết Patagonia và Gran Chaco vẫn nằm dưới sự kiểm soát của họ.
Argentina	Buenos Aires trở thành thủ đô của Phó vương quốc Río de la Plata năm 1776, vùng được thành lập trên một số lãnh thổ cũ của Phó vương Peru. Vùng đất Phó vương quốc Río de la Plata buộc phải nhập khẩu hàng hóa bằng đường bộ qua Lima kể từ năm 1595, và sự phụ thuộc vào buôn lậu nổi lên. Tuy nhiên từ năm 1776, Buenos Aires khởi sắc như là một trung tâm thương mại. Năm 1806 và 1807 thành phố trở thành mục tiêu trong hai cuộc xâm lược thất bại của Anh. Cuộc kháng cự được chỉ huy cả hai lần bởi Sĩ quan người Pháp Santiago de Liniers, người trở thành Phó vương qua sự ủng hộ của người dân. Tin tức về việc lật đổ vua Tây Ban Nha Ferdinand VII trong Chiến tranh bán đảo với Napoleon đã tạo ra mối lo lắng lớn ở Phó vương quốc. Cách mạng tháng 5 năm 1810 bùng nổ ở Buenos Aires, loại bỏ Phó vương Cisneros khỏi chính quyền và thay thế bằng Primera Junta (hội đồng đệ nhất).
